brillo-debug 1.4.13-1
claude-code 2.1.81-1
gnome-network-displays-debug 0.99.0-1
hyprpicker-git-debug 0.4.6.r6.g2558659-1
hyprutils-git-debug 0.11.0.r11.g6b4c476-1
hyprwayland-scanner-git-debug 0.4.5.r5.g0a692d4-1
linux-wallpaperengine-git r594.cb0a0f6-1
linux-wallpaperengine-git-debug r594.cb0a0f6-1
neofetch-git 7.1.0.r166.gccd5d9f5-1
paru-debug 2.1.0-2
rofi-emoji-git r87.794fecf-1
rofi-emoji-git-debug r87.794fecf-1
sddm-sugar-candy-git 1.6r42.d31dbf5-1
swaylock-effects-git r470.496059a-1
swaylock-effects-git-debug r470.496059a-1
voxtype 0.6.4-2
voxtype-debug 0.6.4-2
xwinwrap-0.9-bin 0.9-1
yay-debug 12.5.7-1
