alacritty 0.16.1-1
amd-ucode 20260309-1
android-tools 35.0.2-23
baobab 49.1-1
base 3-3
base-devel 1-2
bash-completion 2.17.0-3
bat 0.26.1-2
blueman 2.4.6-2
bluez 5.86-4
bluez-utils 5.86-4
brillo 1.4.13-1
cava 0.10.7-1
chaotic-keyring 20251028-1
chaotic-mirrorlist 20260302-2
claude-code 2.1.81-1
clipcat 0.24.1-1
cliphist 1:0.7.0-2
dbeaver 26.0.0-1
decibels 49.0-1
discord 1:0.0.130-1
dkms 3.3.0-1
docker 1:29.3.0-1
docker-compose 5.1.1-1
dunst 1.13.1-1
easyeffects 8.1.6-1
efibootmgr 18-3
epiphany 49.6-1
eww-git 0.6.0.r89.g865cf63-1
eza 0.23.4-3
fastfetch 2.60.0-1
feh 3.11.3-1
firefox 148.0.2-1
fzf 0.70.0-1
fzf-tab-git r296.0983009-1
gdm 49.2-1
geany 2.1-2
gh0stzk-cursor-qogirr 1.0-1
gh0stzk-gtk-themes 1.0-1
gh0stzk-icons-beautyline 1.0-0
gh0stzk-icons-candy 1.0-0
gh0stzk-icons-catppuccin-mocha 1.0-0
gh0stzk-icons-dracula 1.0-0
gh0stzk-icons-glassy 1.0-0
gh0stzk-icons-gruvbox-plus-dark 1.0-0
gh0stzk-icons-hack 1.0-0
gh0stzk-icons-luv 1.0-0
gh0stzk-icons-sweet-rainbow 1.0-0
gh0stzk-icons-tokyo-night 1.0-0
gh0stzk-icons-vimix-white 1.0-0
gh0stzk-icons-zafiro 1.0-0
gh0stzk-icons-zafiro-purple 1.0-0
git 2.53.0-1
github-cli 2.88.1-1
gnome-backgrounds 49.0-1
gnome-calculator 49.2-1
gnome-calendar 49.1-1
gnome-characters 49.1-1
gnome-clocks 49.0-1
gnome-color-manager 3.36.2-1
gnome-connections 49.0-1
gnome-console 49.2-1
gnome-contacts 49.0-1
gnome-control-center 49.6-1
gnome-disk-utility 46.1-2
gnome-font-viewer 49.0-1
gnome-keyring 1:48.0-1
gnome-logs 49.0-1
gnome-maps 49.5-1
gnome-menus 3.38.1-1
gnome-music 1:49.1-2
gnome-network-displays 0.99.0-1.1
gnome-remote-desktop 49.3-1
gnome-session 49.2-1
gnome-settings-daemon 49.1-1
gnome-shell 1:49.5-1
gnome-software 49.3-1
gnome-sound-recorder 42.0-5
gnome-system-monitor 49.1-1
gnome-text-editor 49.1-1
gnome-tour 49.0-1
gnome-tweaks 49.0-2
gnome-user-docs 49.4-1
gnome-user-share 48.2-1
gnome-weather 49.0-1
google-chrome 146.0.7680.164-1
gparted 1.8.1-1
grilo-plugins 1:0.3.18-2
grim 1.5.0-2
grub 2:2.14-1
gst-plugin-pipewire 1:1.6.2-1
gvfs 1.58.3-1
gvfs-afc 1.58.3-1
gvfs-dnssd 1.58.3-1
gvfs-goa 1.58.3-1
gvfs-google 1.58.3-1
gvfs-gphoto2 1.58.3-1
gvfs-mtp 1.58.3-1
gvfs-nfs 1.58.3-1
gvfs-onedrive 1.58.3-1
gvfs-smb 1.58.3-1
gvfs-wsdd 1.58.3-1
htop 3.4.1-1
hypridle 0.1.7-7
hyprland 0.54.2-2
hyprlock 0.9.3-1
hyprpaper 0.8.3-3
hyprpicker-git 0.4.6.r7.g75f730c-1
i3lock-color 2.13.c.5-3.3
iriunwebcam-bin 2.9.1-1
iwd 3.12-1
jq 1.8.1-1
kdeconnect 25.12.3-1
konsole 25.12.3-1
libpulse 17.0+r98+gb096704c0-1
libuv 1.52.1-1
libva-nvidia-driver 0.0.16-1
linux 6.19.9.arch1-1
linux-firmware 20260309-1
linux-headers 6.19.9.arch1-1
linux-wallpaperengine-git r594.cb0a0f6-1
logiops 0.3.5-1.6
loupe 49.2-1
lutris 0.5.22-1
lxsession 1:0.5.6-2
ly 1.3.2-1
maim 5.8.1-3
malcontent 0.13.1-1
micro 2.0.15-2
mpc 0.35-1
mpv 1:0.41.0-3
nano 8.7.1-1
nautilus 49.5-1
neofetch-git 7.1.0.r166.gccd5d9f5-1
neovim 0.11.6-1
network-manager-applet 1.36.0-1
networkmanager 1.56.0-1
npm 11.12.0-1
ntfs-3g 2022.10.3-2
nvidia-open-dkms 590.48.01-4
obs-studio 32.1.0-1
orca 49.6-1
pacman-contrib 1.13.1-1
pamixer 1.6-3
papers 49.4-2
papirus-icon-theme 20250501-1
paru 2.1.0-2.1
pavucontrol 1:6.2-1
pipewire 1:1.6.2-1
pipewire-alsa 1:1.6.2-1
pipewire-jack 1:1.6.2-1
pipewire-pulse 1:1.6.2-1
pkgconf 2.5.1-1
polybar 3.7.2-2
portmidi 1:2.0.8-1
postgresql-libs 18.3-2
postman-bin 12.3.0-1
python-pip 26.0.1-1
python-vosk 0.3.50-7
redshift 1.12-15
reflector 2023-5
ripgrep 15.1.0-2
rofi 2.0.0-1
rofi-emoji-git r87.794fecf-1
rygel 1:45.1-1
sddm 0.21.0-6
sddm-sugar-candy-git 1.6r42.d31dbf5-1
sdl2_image 2.8.8-1
sdl2_mixer 2.8.1-2
sdl2_ttf 2.24.0-2
showtime 49.1-2
simple-mtpfs 0.4.0-1.2
simple-scan 49.1-1
slurp 1.5.0-1
smartmontools 7.5-1
snapshot 49.1-1
solaar 1.1.19-1
spotify 1:1.2.84.476-1
st-gh0stzk 0.9.2-1.2
steam 1.0.0.85-5
sudo 1.9.17.p2-2
sushi 46.0-2
swaylock-effects-git r470.496059a-1
sxhkd 0.6.3-1
tecla 49.0-1
telegram-desktop 6.6.4-4
thunar 4.20.7-1
tmux 3.6_a-1
ttf-firacode-nerd 3.4.0-2
